Variables,measured_T,measured_T,measured_T,measured_T,measured_T,Device_Input
Tags,raw,lowPass,movingAverage,low_pass_filter,moving_average,converted_signal
Time,,,,,,
2019-12-21 14:10:03,293.7643058669328,295.36264441519836,295.48568280436507,295.36264441519836,295.48568280436507,0.0
2019-12-21 14:10:04,294.5818146121262,295.50852730296833,295.48568280436507,295.50852730296833,295.48568280436507,0.0
2019-12-21 14:10:05,294.7575926363451,295.65532897644493,295.48568280436507,295.65532897644493,295.48568280436507,0.0
2019-12-21 14:10:06,294.2364057799431,295.8029660098045,295.48568280436507,295.8029660098045,295.48568280436507,0.0
2019-12-21 14:10:07,294.99593735246106,295.9513538862929,295.48568280436507,295.9513538862929,295.48568280436507,0.0
2019-12-21 14:10:08,296.0498160836297,296.10040700577633,295.48568280436507,296.10040700577633,295.48568280436507,0.0
2019-12-21 14:10:09,295.60293818093777,296.2500389309833,295.8365175691857,296.2500389309833,295.8365175691857,0.0
2019-12-21 14:10:10,296.88372399699324,296.4001627498229,296.18726869586067,296.4001627498229,296.18726869586067,0.0
2019-12-21 14:10:11,296.2247492224489,296.55069134118816,296.5294038333463,296.55069134118816,296.5294038333463,0.0
2019-12-21 14:10:12,297.7595443118328,296.70153758498356,296.98603507953317,296.70153758498356,296.98603507953317,0.0
2019-12-21 14:10:13,297.272653515139,296.8526146037152,297.38525323589766,296.8526146037152,297.38525323589766,0.0
2019-12-21 14:10:14,298.0893258788758,297.00383602496805,297.7513847379029,297.00383602496805,297.7513847379029,0.0
2019-12-21 14:10:15,298.1789440112015,297.15511619447466,298.16086181738325,297.15511619447466,298.16086181738325,0.0
2019-12-21 14:10:16,298.8027182418115,297.3063703619023,298.4559244574741,297.3063703619023,298.4559244574741,0.0
2019-12-21 14:10:17,298.9881189161064,297.45751489876784,298.848307631657,297.45751489876784,298.848307631657,0.0
2019-12-21 14:10:18,299.7111311036821,297.60846753978797,299.0426420325237,297.60846753978797,299.0426420325237,0.0
2019-12-21 14:10:19,299.6977089757412,297.7591476361098,299.2796286641945,297.7591476361098,299.2796286641945,0.0
2019-12-21 14:10:20,299.8343503979021,297.909476360656,299.46385838379945,297.909476360656,299.46385838379945,0.0
2019-12-21 14:10:21,300.1485809642776,298.05937679627664,299.647912580053,298.05937679627664,299.647912580053,0.0
2019-12-21 14:10:22,299.7028883204996,298.2087739294005,299.93979056304727,298.2087739294005,299.93979056304727,0.0
2019-12-21 14:10:23,299.6425198318475,298.35759453904836,300.1922833046397,298.35759453904836,300.1922833046397,0.0
2019-12-21 14:10:24,299.9316230749255,298.50576697620664,300.32134959171435,298.50576697620664,300.32134959171435,0.0
2019-12-21 14:10:25,300.01948597373735,298.6532209831323,300.5035482432984,298.6532209831323,300.5035482432984,0.0
2019-12-21 14:10:26,301.7214980717536,298.7998877378549,300.61735738813013,298.7998877378549,300.61735738813013,0.0
2019-12-21 14:10:27,301.51304633203114,298.9457002113041,300.753801419459,298.9457002113041,300.753801419459,0.0
