,outputs.TRoom,outputs.QBui,outputs.Wel,outputs.QDHW,outputs.Q_flowDHW,outputs.WelHP,outputs.WelHR,outputs.Q_flowBui,outputs.PelHR,outputs.PelHP,outputs.Q_flowDHWError,outputs.QDHWError,outputs.DHWOnTime,outputs.numUsageDHW,outputs.timeHR,outputs.numSwiHR,outputs.timeHP,outputs.numSwiHP
0.0,293.1499999999999,0.0,0.0,0.0,0.0,0.0,0.0,-5672.544330513219,0.0,4107.0588461538455,0.0,0.0,0.0,0,0.0,0,0.0,0
800.0,291.0571047090808,-3540429.0599993486,3489774.3568465463,0.0,0.0,3489774.3568465463,0.0,-3254.482022338182,0.0,3420.732719180164,0.0,0.0,800.0,0,0.0,0,800.0,0
1600.0,290.4620029943472,-5766936.246714058,5667542.071088714,0.0,0.0,5667542.071088714,0.0,-2641.8653253986827,0.0,2230.928787148292,0.0,0.0,1600.0,0,0.0,0,1600.0,0
2400.0,290.5021901788945,-8129632.241175016,10505261.047171481,0.0,0.0,8748683.728110816,1756577.319060655,-3547.6944587143425,2927.6288659793813,5684.19359655706,0.0,0.0,2011.6830568200796,0,599.9999998199993,1,2400.0,0
3200.0,290.9314354382173,-11639130.156194447,17728205.06910045,0.0,0.0,13629524.657256287,4098680.4118441576,-5138.997351677801,2927.6288659793813,6510.467296864715,0.0,0.0,2011.6830568200796,0,1399.999999819998,1,3200.0,0
4000.0,291.18553146825104,-16163214.058513183,25563247.271379776,0.0,0.0,19122463.766752094,6440783.504627665,-6068.1608254032635,2927.6288659793813,6343.077162093703,0.0,0.0,2011.6830568200796,0,2199.9999998199987,1,4000.0,0
4800.0,291.21761083879113,-21150482.79394046,29340569.747593693,0.0,0.0,22771465.43013955,6569104.317454123,-6336.784402270787,0.0,3508.9357884886413,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,4800.0,0
5600.0,291.18147370799323,-26279910.264104366,31834695.306791507,0.0,0.0,25265590.989337362,6569104.317454123,-6484.050119082121,0.0,2904.9999467039884,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,5600.0,0
6400.0,291.14866334115106,-31528374.228956066,34152461.3914441,0.0,0.0,27583357.073989954,6569104.317454123,-6637.994498157133,0.0,2933.2231787277265,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,6400.0,0
7200.0,291.12614282488613,-36907547.6085257,36566868.49201773,0.0,0.0,29997764.17456359,6569104.317454123,-6812.727804898338,0.0,3107.7688038368,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,7200.0,0
8000.0,291.1126333254936,-42433552.27253556,39123923.63058255,0.0,0.0,32554819.313128415,6569104.317454123,-7003.96134628683,0.0,3280.9747930069075,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,8000.0,0
8800.0,291.10503783686653,-48116394.85570708,41807820.84567168,0.0,0.0,35238716.52821755,6569104.317454123,-7203.990540129834,0.0,3424.5156496643935,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,8800.0,0
9600.0,291.10081853796606,-53960760.60181995,44596854.619681634,0.0,0.0,38027750.3022275,6569104.317454123,-7407.1273707204,0.0,3545.645509515183,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,9600.0,0
10400.0,291.09837798833786,-59967683.0022909,47477010.943048835,0.0,0.0,40907906.6255947,6569104.317454123,-7610.183604742648,0.0,3655.3814019698298,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,10400.0,0
11200.0,291.0965955657586,-66136775.527421065,50444478.12677332,0.0,0.0,43875373.80931918,6569104.317454123,-7812.999909350566,0.0,3769.1910429654013,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,11200.0,0
12000.0,291.0935356607526,-72472989.48988727,53523344.15743209,0.0,0.0,46954239.83997795,6569104.317454123,-8028.352634410339,0.0,3928.9420148429576,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,12000.0,0
12800.0,291.10010404682134,-78982101.48600641,56729303.58077526,0.0,0.0,50160199.263321124,6569104.317454123,-8232.96153173578,0.0,4074.859026331218,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,12800.0,0
13600.0,291.10778057433635,-85649569.99839446,60037693.08554412,0.0,0.0,53468588.76808998,6569104.317454123,-8396.127812464381,0.0,4170.891778398604,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,13600.0,0
14400.0,291.11362083031486,-92430290.88652034,63404410.27452436,0.0,0.0,56835305.957070224,6569104.317454123,-8548.154095150472,0.0,4240.136373843229,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,14400.0,0
15200.0,291.1184936169204,-99324358.1197334,66817563.57941724,0.0,0.0,60248459.2619631,6569104.317454123,-8685.688803127374,0.0,4293.620181224934,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,15200.0,0
16000.0,291.1217506381286,-106323859.8955216,70277084.0889823,0.0,0.0,63707979.77152815,6569104.317454123,-8813.232766780091,0.0,4354.913223420684,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,16000.0,0
16800.0,291.12420141017884,-113431993.96710244,73792026.47324471,0.0,0.0,67222922.15579055,6569104.317454123,-8933.086143740475,0.0,4419.83289201376,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,16800.0,0
17600.0,291.1262790069545,-120640080.18267968,77362495.65515068,0.0,0.0,70793391.33769652,6569104.317454123,-9046.866179863617,0.0,4483.792937955564,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,17600.0,0
18400.0,291.1289413896078,-127926310.3460856,80972755.80210704,0.0,0.0,74403651.48465288,6569104.317454123,-9153.14037587112,0.0,4526.23466100114,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,18400.0,0
19200.0,291.13384173799994,-135286596.5760785,84575343.44627702,0.0,0.0,78006239.12882286,6569104.317454123,-9229.242545452887,0.0,4480.318341483389,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,19200.0,0
20000.0,291.13686419399374,-142689999.71183875,88138133.53642797,0.0,0.0,81569029.21897382,6569104.317454123,-9276.608757628273,0.0,4433.662931133647,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,20000.0,0
20800.0,291.1366202339947,-150130425.70075786,91691291.59805684,0.0,0.0,85122187.28060268,6569104.317454123,-9316.304485221182,0.0,4454.038169325651,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,20800.0,0
21600.0,291.13428495976905,-157605423.25964502,95295347.51387855,0.0,0.0,88726243.1964244,6569104.317454123,-9372.441697770035,0.0,9380.86151919347,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,21600.0,0
22400.0,293.77915973010613,-169923633.55904135,102580563.19340853,0.0,0.0,96011458.87595437,6569104.317454123,-16508.368582311137,0.0,9333.901349969512,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,22400.0,0
23200.0,294.2707224602932,-183493890.70464268,110184269.85076517,0.0,0.0,103615165.53331101,6569104.317454123,-17337.524934960835,0.0,9684.513063324923,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,23200.0,0
24000.0,294.64688485226014,-197576688.37540913,118075216.35449044,0.0,0.0,111506112.03703628,6569104.317454123,-17864.352934526378,0.0,10037.644536075546,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,24000.0,0
24800.0,295.0086474882639,-212062868.65936542,126230277.76188454,0.0,0.0,119661173.44443038,6569104.317454123,-18341.91175751679,0.0,10338.81007819639,0.0,0.0,2011.6830568200796,0,2243.83096976213,1,24800.0,0
25600.0,295.348404976341,-226907550.84132826,134590398.31111407,1644891.0995495592,12551.851404949017,128021293.99365996,6569104.317454123,-18759.834915987507,0.0,10489.323287762116,0.0,296.8564897529091,2011.6830568200796,0,2243.83096976213,1,25600.0,0
26400.0,295.59786472084295,-242018120.12305158,142775342.7558757,5435501.764264702,0.0,136206238.43842155,6569104.317454123,-18966.665320180244,0.0,10026.81807305567,0.0,296.8564897529091,2011.6830568200796,0,2243.83096976213,1,26400.0,0
27200.0,295.76952197952903,-257207614.68218118,150711942.38940772,5815167.270146603,0.0,144142838.07195356,6569104.317454123,-18995.169820732717,0.0,9839.76227486128,0.0,296.8564897529091,2011.6830568200796,0,2243.83096976213,1,27200.0,0
28000.0,295.9134197334786,-272393360.80375403,158554569.57435572,6128940.254875813,3137.818204416966,151985465.25690156,6569104.317454123,-18969.848003635925,0.0,9785.22101621879,0.0,296.8564897529091,2011.6830568200796,0,2243.83096976213,1,28000.0,0
28800.0,296.0514555022758,-287553715.9259207,166376144.90403214,6194834.442835131,0.0,159807040.58657798,6569104.317454123,-18936.484913826516,0.0,9774.267785090906,0.0,296.8564897529091,2011.6830568200796,0,2243.83096976213,1,28800.0,0
29600.0,296.1561853675237,-302675199.11598563,173941480.21695635,16653241.673213871,20916.59606005901,167372375.8995022,6569104.317454123,-18821.89880868732,0.0,6905.828545809491,0.0,296.8564897529091,2107.5052183269063,1,2243.83096976213,1,29600.0,0
30400.0,295.2317364181773,-316570851.44451827,178640072.56713483,19475651.873381887,3139.407526215054,172070968.24968067,6569104.317454123,-15287.752717507938,0.0,4483.86117731414,0.0,24631.719139425637,2907.5052183269,1,2243.83096976213,1,30400.0,0
31200.0,294.1603058612502,-327504466.8873679,183243879.65097284,19921746.436640423,0.0,176674775.33351868,6569104.317454123,-13094.906903012232,0.0,9226.609950329828,0.0,24631.719139425637,3414.456053569406,1,2243.83096976213,1,31200.0,0
32000.0,294.759871015938,-338661933.13363636,191308602.40071744,20301698.67813858,0.0,184283626.24292934,7024976.1577881295,-14795.021722611977,2927.6288659793813,9790.860956233499,0.0,24631.719139425637,3414.456053569406,1,2399.544641543237,2,32000.0,0
32800.0,295.5902179775506,-351290671.31600285,201742016.14102438,20681340.726442337,0.0,192374936.89045274,9367079.250571627,-16670.61795681796,2927.6288659793813,10408.039712658932,0.0,24631.719139425637,3414.456053569406,1,3199.544641543233,2,32800.0,0
33600.0,296.2907017287851,-365235741.6639432,212581217.92880508,20681340.726442337,0.0,200872035.58544987,11709182.343355123,-18005.74491157985,2927.6288659793813,10788.670863694157,0.0,24631.719139425637,3414.456053569406,1,3999.5446415432302,2,33600.0,0
